Company , First , Last , Country , Hits , SdnId ,  , 
TREMAINE CORP. , JOHN , SHELTON , PANAMA , High Company Match , 10758-20420-12102- ,  , 
RAK WON 2 LLC , DARLENE , GREEN , ARGENTINA , Low Company Match , 17102 ,  , 
JUNGLE LLC , HAJI ABDUL , BASIR , IRAQ , High Individual Match , 17151- ,  , 
ORACLEUTIONS LLC , SAMUEL , FLORES , BORREGO	NIGERIA , High Individual Match , 7223-11919-11919- ,  , 
MONARCH AVIATION INC. , TOMMIE , MORENO , SOLOMON ISLANDS , Partical Individual Match , 4537- ,  , 
MONARCH AVIATION INC. , ESSIE , ALVARADO , FIJI , Partical Individual Match , 11539- ,  , 
PINKWHEELS LLC , TONI , GILL , ISRAEL , Partical Individual Match , 16994- ,  , 
ROBINETWORKS LLC , JOSE , BARTON , PALESTINE , Low Individual Match , 899-4109-6855-9958-9959-12169-16914-18068-18975-19391- ,  , 
GLACIER CO. LLC , ALEKSANDR , JONES , URUGUAY , Low Individual Match , 17024-17318-17760-17764- ,  , 
GOLDROVER LLC , EDWIN , CARROLL , TAIWAN , Low Individual Match , 9463- ,  , 
BLIZZART INC. , EMILY , SHERMAN , URUGUAY , Low Individual Match , 22683- ,  , 
LIONESS CO. , CAROL , OBRIEN , UNITED KINGDOM , Low Individual Match , 21550- ,  , 
RABBITECHNOLOGIES LLC , SONJA , TURNER , TANZANIA , Low Individual Match , 7706- ,  , 
THORECORDS INC. , FLORA , GRIFFITH , GHANA , Low Individual Match , 7481- ,  , 
LUCKY LIGHTING LLC , ALFREDO , BARNES , BOTSWANA , Low Individual Match , 11725-11936-12309-12786-15490-17112- ,  , 
TUCANTERPRISES LLC , RAUL , HIGGINS , MALAWI , Low Individual Match , 11939-15259-21024- ,  , 
TYPHOONAVIGATIONS INC. , NATASHA , GILBERT , NIGERIA , Low Individual Match , 9515- ,  , 
NIMPHOODS INC. , ARTURO , HAMILTON , BURUNDI , Low Individual Match , 9397-10615-10616-12170- ,  , 
MOUNTAINSHOW INC. , EDGAR , GREER , IRELAND , Low Individual Match , 4382-4553- ,  , 
GLACIER CO. , RAQUEL , ROBBINS , SWAZILAND , Low Individual Match , 21579- ,  , 
TUCANTERPRISES LLC , LEO , SWANSON , MALAYSIA , Low Individual Match , 10662- ,  , 
FLOWERMAN LLC , SHAUN , MILLER , LAOS , Low Individual Match , 24083- ,  , 
GOLDROVER LLC , TOM , OLIVER , TAJIKISTAN , Low Individual Match , 10591- ,  , 
BLIZZART INC. , ANDRE , PADILLA , UNITED STATES OF AMERICA , Low Individual Match , 12091- ,  , 
VOYAGE AVIATION INC. , ANDREW , ARMSTRONG , CONGO , Low Individual Match , 9440- ,  , 
DRAGONTIME INC. , GUADALUPE , NORRIS , TUVALU , Low Individual Match , 17849- ,  , 
DIAMONDLAND LLC , KENNETH , CAMPBELL , LIBYA , Low Individual Match , 7508- ,  , 
BLOSSOMSHINE LLC , JOEL , HAMPTON , CHAD , Low Individual Match , 13025- ,  , 
